Product Name,Price
"Lenovo IdeaPad Slim 3 Ryzen 5 7520U 15.6"" FHD Laptop FingerPrint 16GB DDR5 RAM 512GB SSD Abyss Blue with 2 Years Warranty",72500
"Lenovo IdeaPad Slim 3 Ryzen 5 7520U 14"" FHD Laptop FingerPrint 16GB DDR5 RAM 512GB SSD Abyss Blue with 2 Years Warranty",72500
"Lenovo IdeaPad Slim 3 Ryzen 5 7520U 14"" FHD Laptop FingerPrint 16GB DDR5 RAM 512GB SSD with 2 Years Warranty",72500
"Lenovo IdeaPad Slim 3 Ryzen 5 7520U 15.6"" FHD IPS Laptop 16GB DDR5 RAM 512GB SSD with 2 Years Warranty",72500
"Lenovo IdeaPad 3i 15ITL6 core i7 11th Gen 16GB RAM 15.6"" FHD Laptop",73500
"MSI Modern 15 F13MG Core i5 13th Gen 15.6"" FHD Laptop Platinum Gray",74500
"Lenovo IdeaPad Slim 3i 15ITL6 Core i7 11th Gen 15.6"" FHD Laptop",74500
"Lenovo IdeaPad Slim 3 15IRH8 Core i5 13th Gen 15.6"" FHD Military Grade Laptop with Fingerprint",74500
"Lenovo IdeaPad Slim 3 15IRH8 Core i5 13th Gen 15.6"" FHD Military Grade Laptop Arctic Grey",74500
"Walton Tamarind MX511G Core i5 11th Gen 14"" FHD Laptop",74500
"HP 15-fd0268TU Core i5 13th Gen 15.6"" FHD Laptop with Original Windows & Office",74500
"MSI Modern 15 F13MG Core i5 13th Gen 15.6"" FHD Laptop Urban Silver",74500
"Acer TravelLite TL14-52M Core i5 13th Gen 8GB RAM 512GB Storage 14"" FHD Laptop",75500
"Acer TravelMate P2 TMP215-54 Core i5 12th Gen 15.6"" FHD Laptop",75500
"Lenovo IdeaPad Slim 3i 15ITL6 Core i7 11th Gen 15.6"" FHD Laptop Abyss Blue",76000
"Lenovo IdeaPad Slim 3i 15ITL6 Core i7 11th Gen 15.6"" FHD Laptop with Fingerprint",76000
"HP 15-fd0294TU Core i5 13th Gen 15.6"" FHD Laptop",76600
"HP 15-fd0293TU Core i5 13th Gen 15.6"" FHD Laptop With Backlit Keyboard",76800
